panID	best_hit_s288c	type	Note
2250-YBR258C	YBR258C	ORF based on ref genome	
2251-YBR259W	YBR259W	ORF based on ref genome	
2252-YBR260C	YBR260C	ORF based on ref genome	
2253-YBR261C	YBR261C	ORF based on ref genome	
2254-YBR262C	YBR262C	ORF based on ref genome	
2255-YBR263W	YBR263W	ORF based on ref genome	
2256-YBR264C	YBR264C	ORF based on ref genome	
2257-YBR265W	YBR265W	ORF based on ref genome	
2258-YBR267W_NumOfGenes_2	YBR267W	ORF based on ref genome	
2259-YBR268W	YBR268W	ORF based on ref genome	
2260-YBR269C	YBR269C	ORF based on ref genome	
2261-YBR270C	YBR270C	ORF based on ref genome	
2262-YBR271W	YBR271W	ORF based on ref genome	
2263-YBR272C	YBR272C	ORF based on ref genome	
2264-YBR273C	YBR273C	ORF based on ref genome	
2265-YBR274W	YBR274W	ORF based on ref genome	
2266-YBR275C	YBR275C	ORF based on ref genome	
2267-YBR276C	YBR276C	ORF based on ref genome	
2268-YBR278W_NumOfGenes_2	YBR278W	ORF based on ref genome	
2269-YBR279W	YBR279W	ORF based on ref genome	
2270-YBR280C	YBR280C	ORF based on ref genome	
2271-YBR281C	YBR281C	ORF based on ref genome	
2272-YBR282W	YBR282W	ORF based on ref genome	
2273-YBR283C	YBR283C	ORF based on ref genome	
2274-YBR284W	YBR284W	ORF based on ref genome	
2275-YBR285W	YBR285W	ORF based on ref genome	
2276-YBR286W	YBR286W	ORF based on ref genome	
2277-YBR287W	YBR287W	ORF based on ref genome	
2278-YBR288C	YBR288C	ORF based on ref genome	
2279-YBR289W	YBR289W	ORF based on ref genome	
2280-YBR290W	YBR290W	ORF based on ref genome	
2281-YBR291C	YBR291C	ORF based on ref genome	
2282-YBR292C	YBR292C	ORF based on ref genome	
2283-YBR293W	YBR293W	ORF based on ref genome	
2284-YBR294W	YBR294W	ORF based on ref genome	
2285-YBR295W	YBR295W	ORF based on ref genome	
2286-YBR296C	YBR296C	ORF based on ref genome	
2287-YBR296C-A	YBR296C-A	ORF based on ref genome	
2288-YBR297W	YBR297W	ORF based on ref genome	
2289-YBR298C_NumOfGenes_2	YBR298C	ORF based on ref genome	
2290-YCL001W	YCL001W	ORF based on ref genome	
2291-YCL001W-A	YCL001W-A	ORF based on ref genome	
2292-YCL001W-B	YCL001W-B	ORF based on ref genome	
2293-YCL002C	YCL002C	ORF based on ref genome	
2294-YCL004W	YCL004W	ORF based on ref genome	
2295-YCL005W	YCL005W	ORF based on ref genome	
2296-YCL005W-A_NumOfGenes_2	YCL005W-A	ORF based on ref genome	
2297-YCL008C_NumOfGenes_2	YCL008C	ORF based on ref genome	
2298-YCL009C_NumOfGenes_2	YCL009C	ORF based on ref genome	
2299-YCL010C_NumOfGenes_2	YCL010C	ORF based on ref genome	
2300-YCL011C_NumOfGenes_2	YCL011C	ORF based on ref genome	
2301-YCL012C	YCL012C	ORF based on ref genome	
2302-YCL014W	YCL014W	ORF based on ref genome	
2303-YCL016C	YCL016C	ORF based on ref genome	
2304-YCL017C	YCL017C	ORF based on ref genome	
2305-YCL018W	YCL018W	ORF based on ref genome	
2306-YCL021W-A_NumOfGenes_2	YCL021W-A	ORF based on ref genome	
2307-YCL022C_NumOfGenes_2	YCL022C	ORF based on ref genome	
2308-YCL023C	YCL023C	ORF based on ref genome	
2309-YCL025C	YCL025C	ORF based on ref genome	
2310-YCL026C-A	YCL026C-A	ORF based on ref genome	
2311-YCL026C-B	YCL026C-B	ORF based on ref genome	
2312-YCL027W	YCL027W	ORF based on ref genome	
2313-YCL028W	YCL028W	ORF based on ref genome	
2314-YCL029C	YCL029C	ORF based on ref genome	
2315-YCL030C	YCL030C	ORF based on ref genome	
2316-YCL031C	YCL031C	ORF based on ref genome	
2317-YCL032W	YCL032W	ORF based on ref genome	
2318-YCL033C	YCL033C	ORF based on ref genome	
2319-YCL034W	YCL034W	ORF based on ref genome	
2320-YCL035C	YCL035C	ORF based on ref genome	
2321-YCL036W	YCL036W	ORF based on ref genome	
2322-YCL037C	YCL037C	ORF based on ref genome	
2323-YCL038C	YCL038C	ORF based on ref genome	
2324-YCL039W	YCL039W	ORF based on ref genome	
2325-YCL040W	YCL040W	ORF based on ref genome	
2326-YCL041C	YCL041C	ORF based on ref genome	
2327-YCL042W	YCL042W	ORF based on ref genome	
2328-YCL043C	YCL043C	ORF based on ref genome	
2329-YCL044C	YCL044C	ORF based on ref genome	
2330-YCL045C_NumOfGenes_2	YCL045C	ORF based on ref genome	
2331-YCL047C	YCL047C	ORF based on ref genome	
2332-YCL048W	YCL048W	ORF based on ref genome	
2333-YCL048W-A_NumOfGenes_2	YCL048W-A	ORF based on ref genome	
2334-YCL049C	YCL049C	ORF based on ref genome	
2335-YCL050C	YCL050C	ORF based on ref genome	
2336-YCL051W	YCL051W	ORF based on ref genome	
2337-YCL052C	YCL052C	ORF based on ref genome	
2338-YCL054W	YCL054W	ORF based on ref genome	
2339-YCL054W-A	YCL054W-A	ORF based on ref genome	
2340-YCL055W	YCL055W	ORF based on ref genome	
2341-YCL056C	YCL056C	ORF based on ref genome	
2342-YCL057C-A	YCL057C-A	ORF based on ref genome	
2343-YCL057W	YCL057W	ORF based on ref genome	
2344-YCL058W-A_NumOfGenes_2	YCL058W-A	ORF based on ref genome	
2345-YCL059C	YCL059C	ORF based on ref genome	
2346-YCL061C	YCL061C	ORF based on ref genome	
2347-YCL063W	YCL063W	ORF based on ref genome	
2348-YCL064C	YCL064C	ORF based on ref genome	
2349-YCL067C_NumOfGenes_3	YCL067C	ORF based on ref genome	
2350-YCR001W	YCR001W	ORF based on ref genome	
2351-YCR002C	YCR002C	ORF based on ref genome	
2352-YCR003W	YCR003W	ORF based on ref genome	
2353-YCR004C	YCR004C	ORF based on ref genome	
2354-YCR005C	YCR005C	ORF based on ref genome	
2355-YCR006C	YCR006C	ORF based on ref genome	
2356-YCR007C	YCR007C	ORF based on ref genome	
2357-YCR008W	YCR008W	ORF based on ref genome	
2358-YCR009C	YCR009C	ORF based on ref genome	
2359-YCR010C	YCR010C	ORF based on ref genome	
2360-YCR011C	YCR011C	ORF based on ref genome	
2361-YCR012W_NumOfGenes_2	YCR012W	ORF based on ref genome	
2362-YCR014C	YCR014C	ORF based on ref genome	
2363-YCR015C	YCR015C	ORF based on ref genome	
2364-YCR016W	YCR016W	ORF based on ref genome	
2365-YCR017C	YCR017C	ORF based on ref genome	
2366-YCR018C	YCR018C	ORF based on ref genome	
2367-YCR019W	YCR019W	ORF based on ref genome	
2368-YCR020C	YCR020C	ORF based on ref genome	
2369-YCR020C-A	YCR020C-A	ORF based on ref genome	
2370-YCR020W-B	YCR020W-B	ORF based on ref genome	
2371-YCR021C	YCR021C	ORF based on ref genome	
2372-YCR022C	YCR022C	ORF based on ref genome	
2373-YCR023C	YCR023C	ORF based on ref genome	
2374-YCR024C	YCR024C	ORF based on ref genome	
2375-YCR024C-A	YCR024C-A	ORF based on ref genome	
2376-YCR024C-B	YCR024C-B	ORF based on ref genome	
2377-YCR025C	YCR025C	ORF based on ref genome	
2378-YCR026C	YCR026C	ORF based on ref genome	
2379-YCR027C	YCR027C	ORF based on ref genome	
2380-YCR028C	YCR028C	ORF based on ref genome	
2381-YCR028C-A	YCR028C-A	ORF based on ref genome	
2382-YCR030C	YCR030C	ORF based on ref genome	
2383-YCR031C	YCR031C	ORF based on ref genome	
2384-YCR032W	YCR032W	ORF based on ref genome	
2385-YCR033W	YCR033W	ORF based on ref genome	
2386-YCR034W	YCR034W	ORF based on ref genome	
2387-YCR035C	YCR035C	ORF based on ref genome	
2388-YCR036W	YCR036W	ORF based on ref genome	
2389-YCR037C	YCR037C	ORF based on ref genome	
2390-YCR038C_NumOfGenes_3	YCR038C	ORF based on ref genome	
2391-YCR040W_NumOfGenes_2	YCR040W	ORF based on ref genome	
2392-YCR041W_NumOfGenes_2	YCR041W	ORF based on ref genome	
2393-YCR042C	YCR042C	ORF based on ref genome	
2394-YCR043C	YCR043C	ORF based on ref genome	
2395-YCR044C	YCR044C	ORF based on ref genome	
2396-YCR045W-A_NumOfGenes_2	YCR045W-A	ORF based on ref genome	
2397-YCR046C	YCR046C	ORF based on ref genome	
2398-YCR047C_NumOfGenes_2	YCR047C	ORF based on ref genome	
2399-YCR048W_NumOfGenes_3	YCR048W	ORF based on ref genome	
2400-YCR051W	YCR051W	ORF based on ref genome	
2401-YCR052W	YCR052W	ORF based on ref genome	
2402-YCR053W	YCR053W	ORF based on ref genome	
2403-YCR054C	YCR054C	ORF based on ref genome	
2404-YCR057C	YCR057C	ORF based on ref genome	
2405-YCR059C	YCR059C	ORF based on ref genome	
2406-YCR060W_NumOfGenes_2	YCR060W	ORF based on ref genome	
2407-YCR061W	YCR061W	ORF based on ref genome	
2408-YCR063W	YCR063W	ORF based on ref genome	
2409-YCR064C	YCR064C	ORF based on ref genome	
2410-YCR065W	YCR065W	ORF based on ref genome	
2411-YCR066W	YCR066W	ORF based on ref genome	
2412-YCR067C	YCR067C	ORF based on ref genome	
2413-YCR068W	YCR068W	ORF based on ref genome	
2414-YCR069W	YCR069W	ORF based on ref genome	
2415-YCR071C	YCR071C	ORF based on ref genome	
2416-YCR072C	YCR072C	ORF based on ref genome	
2417-YCR073C	YCR073C	ORF based on ref genome	
2418-YCR073W-A	YCR073W-A	ORF based on ref genome	
2419-YCR075C	YCR075C	ORF based on ref genome	
2420-YCR075W-A	YCR075W-A	ORF based on ref genome	
2421-YCR076C	YCR076C	ORF based on ref genome	
2422-YCR077C	YCR077C	ORF based on ref genome	
2423-YCR079W	YCR079W	ORF based on ref genome	
2424-YCR081W_NumOfGenes_2	YCR081W	ORF based on ref genome	
2425-YCR082W	YCR082W	ORF based on ref genome	
2426-YCR083W	YCR083W	ORF based on ref genome	
2427-YCR084C	YCR084C	ORF based on ref genome	
2428-YCR085W	YCR085W	ORF based on ref genome	
2429-YCR086W	YCR086W	ORF based on ref genome	
2430-YCR087W_NumOfGenes_2	YCR087W	ORF based on ref genome	
2431-YCR088W	YCR088W	ORF based on ref genome	
2432-YCR089W	YCR089W	ORF based on ref genome	
2433-YCR090C	YCR090C	ORF based on ref genome	
2434-YCR091W	YCR091W	ORF based on ref genome	
2435-YCR092C	YCR092C	ORF based on ref genome	
2436-YCR093W	YCR093W	ORF based on ref genome	
2437-YCR094W	YCR094W	ORF based on ref genome	
2438-YCR095C	YCR095C	ORF based on ref genome	
2439-YCR095W-A	YCR095W-A	ORF based on ref genome	
2440-YCR097W	YCR097W	ORF based on ref genome	
2441-YCR097W-A	YCR097W-A	ORF based on ref genome	
2442-YCR098C_NumOfGenes_2	YCR098C	ORF based on ref genome	
2443-YCR099C	YCR099C	ORF based on ref genome	
2444-YCR100C	YCR100C	ORF based on ref genome	
2445-YCR101C	YCR101C	ORF based on ref genome	
2446-YCR102C_NumOfGenes_2	YCR102C	ORF based on ref genome	
2447-YCR102W-A	YCR102W-A	ORF based on ref genome	
2448-YCR105W	YCR105W	ORF based on ref genome	
2449-YCR106W	YCR106W	ORF based on ref genome	
2450-YCR107W_NumOfGenes_4	YCR107W	ORF based on ref genome	
2451-YCR108C_NumOfGenes_2	YCR108C	ORF based on ref genome	
2452-YDL001W	YDL001W	ORF based on ref genome	
2453-YDL002C	YDL002C	ORF based on ref genome	
2454-YDL003W	YDL003W	ORF based on ref genome	
2455-YDL004W	YDL004W	ORF based on ref genome	
2456-YDL005C	YDL005C	ORF based on ref genome	
2457-YDL006W	YDL006W	ORF based on ref genome	
2458-YDL007C-A	YDL007C-A	ORF based on ref genome	
2459-YDL007W	YDL007W	ORF based on ref genome	
2460-YDL008W	YDL008W	ORF based on ref genome	
2461-YDL009C	YDL009C	ORF based on ref genome	
2462-YDL010W_NumOfGenes_2	YDL010W	ORF based on ref genome	
2463-YDL012C	YDL012C	ORF based on ref genome	
2464-YDL013W	YDL013W	ORF based on ref genome	
2465-YDL014W	YDL014W	ORF based on ref genome	
2466-YDL015C	YDL015C	ORF based on ref genome	
2467-YDL016C	YDL016C	ORF based on ref genome	
2468-YDL017W	YDL017W	ORF based on ref genome	
2469-YDL018C	YDL018C	ORF based on ref genome	
2470-YDL019C	YDL019C	ORF based on ref genome	
2471-YDL020C	YDL020C	ORF based on ref genome	
2472-YDL021W	YDL021W	ORF based on ref genome	
2473-YDL022C-A	YDL022C-A	ORF based on ref genome	
2474-YDL022W_NumOfGenes_2	YDL022W	ORF based on ref genome	
2475-YDL024C	YDL024C	ORF based on ref genome	
2476-YDL025C_NumOfGenes_2	YDL025C	ORF based on ref genome	
2477-YDL026W	YDL026W	ORF based on ref genome	
2478-YDL027C	YDL027C	ORF based on ref genome	
2479-YDL028C	YDL028C	ORF based on ref genome	
2480-YDL029W	YDL029W	ORF based on ref genome	
2481-YDL030W	YDL030W	ORF based on ref genome	
2482-YDL031W	YDL031W	ORF based on ref genome	
2483-YDL032W	YDL032W	ORF based on ref genome	
2484-YDL033C	YDL033C	ORF based on ref genome	
2485-YDL035C_NumOfGenes_2	YDL035C	ORF based on ref genome	
2486-YDL036C	YDL036C	ORF based on ref genome	
2487-YDL037C	YDL037C	ORF based on ref genome	
2488-YDL039C	YDL039C	ORF based on ref genome	
2489-YDL040C	YDL040C	ORF based on ref genome	
2490-YDL042C_NumOfGenes_2	YDL042C	ORF based on ref genome	
2491-YDL043C	YDL043C	ORF based on ref genome	
2492-YDL044C	YDL044C	ORF based on ref genome	
2493-YDL045C	YDL045C	ORF based on ref genome	
2494-YDL045W-A	YDL045W-A	ORF based on ref genome	
2495-YDL046W	YDL046W	ORF based on ref genome	
2496-YDL047W	YDL047W	ORF based on ref genome	
2497-YDL048C	YDL048C	ORF based on ref genome	
2498-YDL049C	YDL049C	ORF based on ref genome	
2499-YDL051W_NumOfGenes_2	YDL051W	ORF based on ref genome	
2500-YDL052C	YDL052C	ORF based on ref genome	
2501-YDL053C	YDL053C	ORF based on ref genome	
2502-YDL054C	YDL054C	ORF based on ref genome	
2503-YDL055C	YDL055C	ORF based on ref genome	
2504-YDL056W	YDL056W	ORF based on ref genome	
2505-YDL057W	YDL057W	ORF based on ref genome	
2506-YDL058W	YDL058W	ORF based on ref genome	
2507-YDL059C	YDL059C	ORF based on ref genome	
2508-YDL060W	YDL060W	ORF based on ref genome	
2509-YDL061C	YDL061C	ORF based on ref genome	
2510-YDL062W	YDL062W	ORF based on ref genome	
2511-YDL063C	YDL063C	ORF based on ref genome	
2512-YDL064W	YDL064W	ORF based on ref genome	
2513-YDL065C	YDL065C	ORF based on ref genome	
2514-YDL066W	YDL066W	ORF based on ref genome	
2515-YDL067C	YDL067C	ORF based on ref genome	
2516-YDL069C_NumOfGenes_2	YDL069C	ORF based on ref genome	
2517-YDL070W	YDL070W	ORF based on ref genome	
2518-YDL071C	YDL071C	ORF based on ref genome	
2519-YDL072C	YDL072C	ORF based on ref genome	
2520-YDL073W	YDL073W	ORF based on ref genome	
2521-YDL074C_NumOfGenes_2	YDL074C	ORF based on ref genome	
2522-YDL075W	YDL075W	ORF based on ref genome	
2523-YDL076C	YDL076C	ORF based on ref genome	
2524-YDL077C	YDL077C	ORF based on ref genome	
2525-YDL078C	YDL078C	ORF based on ref genome	
2526-YDL079C	YDL079C	ORF based on ref genome	
2527-YDL080C	YDL080C	ORF based on ref genome	
2528-YDL081C	YDL081C	ORF based on ref genome	
2529-YDL082W	YDL082W	ORF based on ref genome	
2530-YDL083C	YDL083C	ORF based on ref genome	
2531-YDL084W	YDL084W	ORF based on ref genome	
2532-YDL085C-A	YDL085C-A	ORF based on ref genome	
2533-YDL085W	YDL085W	ORF based on ref genome	
2534-YDL086W_NumOfGenes_2	YDL086W	ORF based on ref genome	
2535-YDL087C	YDL087C	ORF based on ref genome	
2536-YDL088C	YDL088C	ORF based on ref genome	
2537-YDL089W	YDL089W	ORF based on ref genome	
2538-YDL090C	YDL090C	ORF based on ref genome	
2539-YDL091C	YDL091C	ORF based on ref genome	
2540-YDL092W	YDL092W	ORF based on ref genome	
2541-YDL093W	YDL093W	ORF based on ref genome	
2542-YDL094C	YDL094C	ORF based on ref genome	
2543-YDL095W_NumOfGenes_2	YDL095W	ORF based on ref genome	
2544-YDL097C	YDL097C	ORF based on ref genome	
2545-YDL098C	YDL098C	ORF based on ref genome	
2546-YDL099W	YDL099W	ORF based on ref genome	
2547-YDL100C	YDL100C	ORF based on ref genome	
2548-YDL101C	YDL101C	ORF based on ref genome	
2549-YDL102W	YDL102W	ORF based on ref genome	
2550-YDL103C	YDL103C	ORF based on ref genome	
2551-YDL104C	YDL104C	ORF based on ref genome	
2552-YDL105W	YDL105W	ORF based on ref genome	
2553-YDL106C	YDL106C	ORF based on ref genome	
2554-YDL107W	YDL107W	ORF based on ref genome	
2555-YDL108W	YDL108W	ORF based on ref genome	
2556-YDL109C	YDL109C	ORF based on ref genome	
2557-YDL110C	YDL110C	ORF based on ref genome	
2558-YDL111C	YDL111C	ORF based on ref genome	
2559-YDL112W	YDL112W	ORF based on ref genome	
2560-YDL113C	YDL113C	ORF based on ref genome	
2561-YDL114W	YDL114W	ORF based on ref genome	
2562-YDL115C_NumOfGenes_2	YDL115C	ORF based on ref genome	
2563-YDL116W	YDL116W	ORF based on ref genome	
2564-YDL117W	YDL117W	ORF based on ref genome	
2565-YDL119C_NumOfGenes_2	YDL119C	ORF based on ref genome	
2566-YDL120W	YDL120W	ORF based on ref genome	
2567-YDL121C	YDL121C	ORF based on ref genome	
2568-YDL122W	YDL122W	ORF based on ref genome	
2569-YDL123W	YDL123W	ORF based on ref genome	
2570-YDL124W	YDL124W	ORF based on ref genome	
2571-YDL125C	YDL125C	ORF based on ref genome	
2572-YDL126C	YDL126C	ORF based on ref genome	
2573-YDL127W	YDL127W	ORF based on ref genome	
2574-YDL128W	YDL128W	ORF based on ref genome	
2575-YDL129W	YDL129W	ORF based on ref genome	
2576-YDL130W	YDL130W	ORF based on ref genome	
2577-YDL130W-A	YDL130W-A	ORF based on ref genome	
2578-YDL132W	YDL132W	ORF based on ref genome	
2579-YDL133W	YDL133W	ORF based on ref genome	
2580-YDL134C	YDL134C	ORF based on ref genome	
2581-YDL135C	YDL135C	ORF based on ref genome	
2582-YDL136W	YDL136W	ORF based on ref genome	
2583-YDL137W	YDL137W	ORF based on ref genome	
2584-YDL138W	YDL138W	ORF based on ref genome	
2585-YDL139C	YDL139C	ORF based on ref genome	
2586-YDL140C_NumOfGenes_2	YDL140C	ORF based on ref genome	
2587-YDL141W	YDL141W	ORF based on ref genome	
2588-YDL142C	YDL142C	ORF based on ref genome	
2589-YDL143W	YDL143W	ORF based on ref genome	
2590-YDL144C	YDL144C	ORF based on ref genome	
2591-YDL145C	YDL145C	ORF based on ref genome	
2592-YDL146W	YDL146W	ORF based on ref genome	
2593-YDL147W	YDL147W	ORF based on ref genome	
2594-YDL148C	YDL148C	ORF based on ref genome	
2595-YDL149W	YDL149W	ORF based on ref genome	
2596-YDL150W_NumOfGenes_2	YDL150W	ORF based on ref genome	
2597-YDL152W	YDL152W	ORF based on ref genome	
2598-YDL153C	YDL153C	ORF based on ref genome	
2599-YDL154W	YDL154W	ORF based on ref genome	
2600-YDL155W	YDL155W	ORF based on ref genome	
2601-YDL156W	YDL156W	ORF based on ref genome	
2602-YDL157C	YDL157C	ORF based on ref genome	
2603-YDL158C	YDL158C	ORF based on ref genome	
2604-YDL159W_NumOfGenes_3	YDL159W	ORF based on ref genome	
2605-YDL159W-A	YDL159W-A	ORF based on ref genome	
2606-YDL160C	YDL160C	ORF based on ref genome	
2607-YDL160C-A	YDL160C-A	ORF based on ref genome	
2608-YDL161W	YDL161W	ORF based on ref genome	
2609-YDL162C	YDL162C	ORF based on ref genome	
2610-YDL164C_NumOfGenes_2	YDL164C	ORF based on ref genome	
2611-YDL165W	YDL165W	ORF based on ref genome	
2612-YDL166C	YDL166C	ORF based on ref genome	
2613-YDL167C	YDL167C	ORF based on ref genome	
2614-YDL168W	YDL168W	ORF based on ref genome	
2615-YDL169C	YDL169C	ORF based on ref genome	
2616-YDL170W	YDL170W	ORF based on ref genome	
2617-YDL171C	YDL171C	ORF based on ref genome	
2618-YDL173W_NumOfGenes_2	YDL173W	ORF based on ref genome	
2619-YDL174C	YDL174C	ORF based on ref genome	
2620-YDL175C	YDL175C	ORF based on ref genome	
2621-YDL176W	YDL176W	ORF based on ref genome	
2622-YDL177C	YDL177C	ORF based on ref genome	
2623-YDL178W	YDL178W	ORF based on ref genome	
2624-YDL179W	YDL179W	ORF based on ref genome	
2625-YDL180W	YDL180W	ORF based on ref genome	
2626-YDL181W	YDL181W	ORF based on ref genome	
2627-YDL182W_NumOfGenes_2	YDL182W	ORF based on ref genome	
2628-YDL183C	YDL183C	ORF based on ref genome	
2629-YDL185C-A	YDL185C-A	ORF based on ref genome	
2630-YDL185W	YDL185W	ORF based on ref genome	
2631-YDL186W	YDL186W	ORF based on ref genome	
2632-YDL187C	YDL187C	ORF based on ref genome	
2633-YDL188C	YDL188C	ORF based on ref genome	
2634-YDL189W	YDL189W	ORF based on ref genome	
2635-YDL190C	YDL190C	ORF based on ref genome	
2636-YDL191W	YDL191W	ORF based on ref genome	
2637-YDL192W	YDL192W	ORF based on ref genome	
2638-YDL193W	YDL193W	ORF based on ref genome	
2639-YDL194W	YDL194W	ORF based on ref genome	
2640-YDL195W	YDL195W	ORF based on ref genome	
2641-YDL196W	YDL196W	ORF based on ref genome	
2642-YDL197C	YDL197C	ORF based on ref genome	
2643-YDL198C	YDL198C	ORF based on ref genome	
2644-YDL199C	YDL199C	ORF based on ref genome	
2645-YDL200C	YDL200C	ORF based on ref genome	
2646-YDL201W	YDL201W	ORF based on ref genome	
2647-YDL202W	YDL202W	ORF based on ref genome	
2648-YDL203C	YDL203C	ORF based on ref genome	
2649-YDL204W	YDL204W	ORF based on ref genome	
2650-YDL205C	YDL205C	ORF based on ref genome	
2651-YDL206W	YDL206W	ORF based on ref genome	
2652-YDL207W	YDL207W	ORF based on ref genome	
2653-YDL208W	YDL208W	ORF based on ref genome	
2654-YDL209C	YDL209C	ORF based on ref genome	
2655-YDL210W	YDL210W	ORF based on ref genome	
2656-YDL211C	YDL211C	ORF based on ref genome	
2657-YDL212W	YDL212W	ORF based on ref genome	
2658-YDL213C	YDL213C	ORF based on ref genome	
2659-YDL214C	YDL214C	ORF based on ref genome	
2660-YDL215C	YDL215C	ORF based on ref genome	
2661-YDL216C	YDL216C	ORF based on ref genome	
2662-YDL217C	YDL217C	ORF based on ref genome	
2663-YDL218W	YDL218W	ORF based on ref genome	
2664-YDL219W	YDL219W	ORF based on ref genome	
2665-YDL220C	YDL220C	ORF based on ref genome	
2666-YDL221W	YDL221W	ORF based on ref genome	
2667-YDL222C	YDL222C	ORF based on ref genome	
2668-YDL223C	YDL223C	ORF based on ref genome	
2669-YDL224C	YDL224C	ORF based on ref genome	
2670-YDL225W	YDL225W	ORF based on ref genome	
2671-YDL226C	YDL226C	ORF based on ref genome	
2672-YDL227C	YDL227C	ORF based on ref genome	
2673-YDL229W_NumOfGenes_3	YDL229W	ORF based on ref genome	
2674-YDL230W_NumOfGenes_2	YDL230W	ORF based on ref genome	
2675-YDL231C_NumOfGenes_3	YDL231C	ORF based on ref genome	
2676-YDL232W	YDL232W	ORF based on ref genome	
2677-YDL233W_NumOfGenes_2	YDL233W	ORF based on ref genome	
2678-YDL234C_NumOfGenes_2	YDL234C	ORF based on ref genome	
2679-YDL235C	YDL235C	ORF based on ref genome	
2680-YDL236W	YDL236W	ORF based on ref genome	
2681-YDL237W	YDL237W	ORF based on ref genome	
2682-YDL238C	YDL238C	ORF based on ref genome	
2683-YDL239C	YDL239C	ORF based on ref genome	
2684-YDL240C-A	YDL240C-A	ORF based on ref genome	
2685-YDL240W	YDL240W	ORF based on ref genome	
2686-YDL241W	YDL241W	ORF based on ref genome	
2687-YDL242W_NumOfGenes_2	YDL242W	ORF based on ref genome	
2688-YDL243C	YDL243C	ORF based on ref genome	
2689-YDL247W_NumOfGenes_2	YDL247W	ORF based on ref genome	
2690-YDL247W-A	YDL247W-A	ORF based on ref genome	
2691-YDR001C	YDR001C	ORF based on ref genome	
2692-YDR002W	YDR002W	ORF based on ref genome	
2693-YDR003W	YDR003W	ORF based on ref genome	
2694-YDR003W-A	YDR003W-A	ORF based on ref genome	
2695-YDR004W	YDR004W	ORF based on ref genome	
2696-YDR005C	YDR005C	ORF based on ref genome	
2697-YDR006C	YDR006C	ORF based on ref genome	
2698-YDR007W_NumOfGenes_2	YDR007W	ORF based on ref genome	
2699-YDR009W	YDR009W	ORF based on ref genome	
2700-YDR010C	YDR010C	ORF based on ref genome	
2701-YDR011W	YDR011W	ORF based on ref genome	
2702-YDR012W_NumOfGenes_2	YDR012W	ORF based on ref genome	
2703-YDR013W	YDR013W	ORF based on ref genome	
2704-YDR014W	YDR014W	ORF based on ref genome	
2705-YDR014W-A_NumOfGenes_3	YDR014W-A	ORF based on ref genome	
2706-YDR016C_NumOfGenes_2	YDR016C	ORF based on ref genome	
2707-YDR017C	YDR017C	ORF based on ref genome	
2708-YDR018C	YDR018C	ORF based on ref genome	
2709-YDR019C	YDR019C	ORF based on ref genome	
2710-YDR020C	YDR020C	ORF based on ref genome	
2711-YDR021W	YDR021W	ORF based on ref genome	
2712-YDR022C	YDR022C	ORF based on ref genome	
2713-YDR023W	YDR023W	ORF based on ref genome	
2714-YDR024W	YDR024W	ORF based on ref genome	
2715-YDR025W	YDR025W	ORF based on ref genome	
2716-YDR026C	YDR026C	ORF based on ref genome	
2717-YDR027C	YDR027C	ORF based on ref genome	
2718-YDR028C	YDR028C	ORF based on ref genome	
2719-YDR029W	YDR029W	ORF based on ref genome	
2720-YDR030C	YDR030C	ORF based on ref genome	
2721-YDR031W	YDR031W	ORF based on ref genome	
2722-YDR032C	YDR032C	ORF based on ref genome	
2723-YDR033W	YDR033W	ORF based on ref genome	
2724-YDR034C	YDR034C	ORF based on ref genome	
2725-YDR034C-A	YDR034C-A	ORF based on ref genome	
2726-YDR034W-B	YDR034W-B	ORF based on ref genome	
2727-YDR035W_NumOfGenes_2	YDR035W	ORF based on ref genome	
2728-YDR036C	YDR036C	ORF based on ref genome	
2729-YDR037W	YDR037W	ORF based on ref genome	
2730-YDR038C_NumOfGenes_3	YDR038C	ORF based on ref genome	
2731-YDR041W	YDR041W	ORF based on ref genome	
2732-YDR042C	YDR042C	ORF based on ref genome	
2733-YDR043C	YDR043C	ORF based on ref genome	
2734-YDR044W	YDR044W	ORF based on ref genome	
2735-YDR045C_NumOfGenes_2	YDR045C	ORF based on ref genome	
2736-YDR046C_NumOfGenes_2	YDR046C	ORF based on ref genome	
2737-YDR047W_NumOfGenes_2	YDR047W	ORF based on ref genome	
2738-YDR048C	YDR048C	ORF based on ref genome	
2739-YDR049W_NumOfGenes_2	YDR049W	ORF based on ref genome	
2740-YDR050C_NumOfGenes_2	YDR050C	ORF based on ref genome	
2741-YDR051C	YDR051C	ORF based on ref genome	
2742-YDR052C_NumOfGenes_2	YDR052C	ORF based on ref genome	
2743-YDR054C	YDR054C	ORF based on ref genome	
2744-YDR055W	YDR055W	ORF based on ref genome	
2745-YDR056C	YDR056C	ORF based on ref genome	
2746-YDR057W	YDR057W	ORF based on ref genome	
2747-YDR058C	YDR058C	ORF based on ref genome	
2748-YDR059C	YDR059C	ORF based on ref genome	
2749-YDR060W	YDR060W	ORF based on ref genome	
2750-YDR061W	YDR061W	ORF based on ref genome	
2751-YDR062W	YDR062W	ORF based on ref genome	
2752-YDR063W	YDR063W	ORF based on ref genome	
2753-YDR064W	YDR064W	ORF based on ref genome	
2754-YDR065W	YDR065W	ORF based on ref genome	
2755-YDR066C	YDR066C	ORF based on ref genome	
2756-YDR067C	YDR067C	ORF based on ref genome	
